,state/region,ages,year,population
2497,USA,total,1990,249622814.0
2498,USA,total,1991,252980942.0
2501,USA,total,1992,256514231.0
2502,USA,total,1993,259918595.0
2505,USA,total,1994,263125826.0
2508,USA,total,1995,266278403.0
2509,USA,total,1996,269394291.0
2510,USA,total,1997,272646932.0
2513,USA,total,1998,275854116.0
2515,USA,total,2000,282162411.0
2517,USA,total,1999,279040181.0
2518,USA,total,2001,284968955.0
2520,USA,total,2002,287625193.0
2522,USA,total,2003,290107933.0
2524,USA,total,2004,292805298.0
2526,USA,total,2005,295516599.0
2528,USA,total,2006,298379912.0
2530,USA,total,2007,301231207.0
2532,USA,total,2008,304093966.0
2535,USA,total,2013,316128839.0
2536,USA,total,2009,306771529.0
2539,USA,total,2010,309326295.0
2541,USA,total,2011,311582564.0
2543,USA,total,2012,313873685.0
